This is Ipopt version 3.14.4, running with linear solver MUMPS 5.5.1.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:       24
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       24
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       24
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  1.8816997e+01 0.00e+00 9.16e+02  -8.8 4.74e-02    -  1.00e+00 1.00e+00f  1
  48  1.7412441e+01 0.00e+00 6.72e+02  -6.7 6.89e-02    -  5.07e-01 2.85e-01f  1
  49  1.7404129e+01 0.00e+00 6.72e+02  -5.0 5.20e+00    -  4.39e-04 4.35e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.6746812e+01 0.00e+00 5.55e+02  -5.0 4.70e-01    -  7.99e-06 6.25e-02f  5
  51  1.6090441e+01 0.00e+00 3.68e+02  -7.4 3.63e-01    -  1.00e+00 5.66e-02f  1
  52  1.6078845e+01 0.00e+00 3.67e+02  -8.3 3.02e-01    -  1.00e+00 6.63e-04f  1
  53  1.5706092e+01 0.00e+00 2.60e+02  -6.3 3.01e+01    -  1.00e+00 4.05e-04f  1
  54  1.4800983e+01 0.00e+00 5.88e+01  -7.2 2.64e-02    -  1.00e+00 6.67e-01f  1
  55  1.4164162e+01 0.00e+00 1.84e+01  -8.1 3.24e-02    -  1.00e+00 8.71e-01f  1
  56  1.3457701e+01 0.00e+00 9.32e+02  -5.6 2.59e-01    -  6.50e-01 1.00e+00f  1
  57  1.3334467e+01 0.00e+00 8.54e+02  -4.6 9.52e+00    -  1.00e+00 3.57e-03f  3
  58  1.2121595e+01 0.00e+00 7.40e+02  -3.8 8.18e+00    -  1.00e+00 1.12e-02f  2
  59  1.1927208e+01 0.00e+00 6.04e+02  -1.6 1.44e+01    -  3.38e-01 1.26e-03f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.1658087e+01 0.00e+00 5.77e+02  -8.0 1.09e+00    -  4.24e-01 9.92e-03f  1
  61  1.5797549e+01 0.00e+00 4.66e+02  -0.4 2.69e+01    -  7.05e-02 1.60e-02f  3
  62  1.5062984e+01 0.00e+00 2.90e+02  -0.3 9.51e+00    -  1.76e-01 9.23e-03f  5
  63  1.4849830e+01 0.00e+00 6.28e+02  -0.3 1.36e-01    -  4.10e-01 5.00e-01f  2
  64  1.3137649e+01 0.00e+00 1.07e+02  -0.3 1.04e-01    -  1.00e+00 1.00e+00f  1
  65  1.3010546e+01 0.00e+00 3.08e+02  -0.3 3.71e-01    -  6.25e-01 1.25e-01f  4
  66  1.2398515e+01 0.00e+00 6.69e+01  -0.3 2.57e-01    -  1.00e+00 1.83e-01f  2
  67  1.0969756e+01 0.00e+00 2.82e+02  -0.3 1.65e-01    -  1.00e+00 5.00e-01f  2
  68  9.1858902e+00 0.00e+00 1.15e+02  -1.3 1.42e-01    -  1.00e+00 8.08e-01f  1
  69  1.0278702e+01 0.00e+00 3.13e+02  -0.2 3.70e-01    -  1.00e+00 1.25e-01f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.2190418e+01 0.00e+00 6.03e+02  -0.3 2.83e-01    -  5.33e-01 4.95e-01f  2
  71  1.1772492e+01 0.00e+00 7.04e+02  -0.3 6.07e-01    -  6.00e-01 1.18e-01f  3
  72  1.0910077e+01 0.00e+00 3.86e+02  -0.3 1.60e-01    -  8.25e-01 3.91e-01f  2
  73  1.0103489e+01 0.00e+00 1.86e+02  -0.3 3.18e-01    -  1.00e+00 1.35e-01f  3
  74  9.7420054e+00 0.00e+00 1.75e+02  -0.3 2.07e-01    -  1.00e+00 1.59e-01f  3
  75  9.6271645e+00 0.00e+00 1.13e+01  -0.3 8.77e-01    -  4.44e-01 1.58e-02f  6
  76  9.6808003e+00 0.00e+00 1.53e+01  -0.3 1.06e-01    -  1.00e+00 1.25e-01f  4
  77  1.0086131e+01 0.00e+00 3.06e+02  -0.3 2.37e-01    -  1.00e+00 5.00e-01f  2
  78  8.9017988e+00 0.00e+00 1.77e+02  -0.3 2.54e-01    -  1.00e+00 5.00e-01f  2
  79  9.3912460e+00 0.00e+00 4.07e+02   0.0 5.33e-01    -  1.00e+00 1.16e-01f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  9.2739558e+00 0.00e+00 1.82e+02  -0.1 2.25e-01    -  1.00e+00 1.25e-01f  4
  81  1.0776031e+01 0.00e+00 7.19e+01  -0.1 1.45e-01    -  1.00e+00 1.00e+00f  1
  82  1.0332169e+01 0.00e+00 3.74e+02  -0.1 3.67e-01    -  1.00e+00 1.25e-01f  4
  83  9.5841187e+00 0.00e+00 3.44e+02  -0.1 6.60e-01    -  1.00e+00 1.73e-01f  3
