This is Ipopt version 3.14.4, running with linear solver MUMPS 5.5.1.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:       24
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       24
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       24
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 195  3.9039472e+00 0.00e+00 4.69e+01  -0.0 2.01e-01    -  1.00e+00 1.25e-01f  4
 196  3.9874856e+00 0.00e+00 5.23e+01  -0.0 7.96e-02    -  1.00e+00 2.50e-01f  3
 197  3.9734264e+00 0.00e+00 5.05e+01  -0.0 2.54e-01    -  1.00e+00 2.50e-01f  3
 198  3.8531432e+00 0.00e+00 1.59e+01  -0.0 1.68e-01    -  1.00e+00 1.25e-01f  4
 199  3.8415298e+00 0.00e+00 3.64e+01  -0.0 1.40e-01    -  1.00e+00 6.25e-02f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  3.7952054e+00 0.00e+00 9.84e+00  -0.0 1.01e-01    -  1.00e+00 1.25e-01f  4
 201  3.7691369e+00 0.00e+00 2.96e+01  -0.0 2.85e-01    -  1.00e+00 6.25e-02f  5
 202  5.6252145e+00 0.00e+00 3.55e+02  -0.0 1.18e-01    -  1.00e+00 1.00e+00w  1
 203  3.4311735e+00 0.00e+00 6.57e+01  -0.0 5.05e-02    -  1.00e+00 1.00e+00w  1
 204  6.0574519e+00 0.00e+00 3.59e+02  -0.0 1.49e-01    -  1.00e+00 1.00e+00w  1
 205  3.7388919e+00 0.00e+00 1.30e+01  -0.0 2.67e-01    -  1.00e+00 6.25e-02f  4
 206  3.6946012e+00 0.00e+00 2.16e+01  -0.0 1.69e-01    -  1.00e+00 6.25e-02f  5
 207  3.7193318e+00 0.00e+00 3.33e+01  -0.0 3.69e-02    -  1.00e+00 6.25e-02f  5
 208  3.6072653e+00 0.00e+00 4.90e+01  -0.0 1.12e-01    -  1.00e+00 2.50e-01f  3
 209  3.7261623e+00 0.00e+00 2.01e+01  -0.0 6.21e-02    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  3.7394159e+00 0.00e+00 8.42e+00  -0.0 2.70e-02    -  1.00e+00 6.25e-02f  5
 211  3.4878286e+00 0.00e+00 1.15e+02  -0.7 8.52e-02    -  1.00e+00 1.00e+00f  1
 212  3.4672777e+00 0.00e+00 8.54e+01  -0.7 5.67e-01    -  9.03e-01 1.15e-02f  6
 213  3.4085115e+00 0.00e+00 1.88e+02  -0.7 1.43e-01    -  1.00e+00 1.25e-01f  4
 214  3.3662100e+00 0.00e+00 2.20e+01  -0.7 3.52e-01    -  1.00e+00 5.10e-02f  5
 215  3.2379326e+00 0.00e+00 4.82e+01  -0.7 1.95e-01    -  1.00e+00 1.25e-01f  4
 216  3.2063078e+00 0.00e+00 5.44e+01  -0.7 3.79e-01    -  1.00e+00 6.25e-02f  5
 217  3.1343726e+00 0.00e+00 8.66e+01  -0.7 1.41e+00    -  4.93e-01 8.44e-03f  5
 218  2.7283633e+00 0.00e+00 7.90e+01  -0.7 8.16e-02    -  1.00e+00 5.00e-01f  2
 219  2.4957237e+00 0.00e+00 6.19e+01  -0.7 5.05e-01    -  5.11e-01 9.57e-02f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220  2.3650411e+00 0.00e+00 3.05e+02  -0.7 1.26e+00    -  5.21e-01 4.19e-02f  4
 221  2.2693253e+00 0.00e+00 3.20e+01  -0.8 9.53e-01    -  1.00e+00 2.87e-02f  5
 222  1.7617756e+00 0.00e+00 1.03e+02  -1.8 1.54e-01    -  1.00e+00 6.92e-01f  1
 223  4.6116783e+00 0.00e+00 1.30e+02  -0.3 4.46e-01    -  9.79e-01 5.00e-01f  2
 224  4.2300341e+00 0.00e+00 2.68e+02  -0.4 5.98e-01    -  1.00e+00 1.23e-01f  4
 225  2.7025204e+00 0.00e+00 7.06e+01  -0.4 1.55e-01    -  1.00e+00 5.00e-01f  2
 226  2.6081484e+00 0.00e+00 9.56e+01  -0.4 2.96e-01    -  6.30e-01 1.25e-01f  4
 227  2.6372965e+00 0.00e+00 1.62e+02  -0.4 1.46e-01    -  1.00e+00 6.25e-02f  5
 228  1.9432021e+00 0.00e+00 2.69e+01  -0.4 1.23e-01    -  1.00e+00 1.00e+00f  1
 229  2.1875321e+00 0.00e+00 1.31e+02  -0.4 8.19e-02    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230  2.3588776e+00 0.00e+00 4.80e+01  -0.4 1.55e-01    -  1.00e+00 5.00e-01f  2
 231  2.3205562e+00 0.00e+00 2.47e+01  -0.4 1.27e-01    -  1.00e+00 6.25e-02f  5
 232  2.3209865e+00 0.00e+00 2.94e+01  -0.4 2.07e-01    -  1.00e+00 6.25e-02f  5
 233  2.3026736e+00 0.00e+00 1.92e+01  -0.4 2.61e-02    -  1.00e+00 2.50e-01f  3
 234  2.1877076e+00 0.00e+00 4.29e+01  -0.4 5.18e-02    -  1.00e+00 5.00e-01f  2
 235  2.0959956e+00 0.00e+00 5.92e+01  -0.4 1.43e-01    -  1.00e+00 1.25e-01f  4
 236  2.1258835e+00 0.00e+00 3.70e+01  -0.4 4.09e-02    -  1.00e+00 1.25e-01f  4
 237  2.1773590e+00 0.00e+00 6.86e+01  -0.4 3.69e-02    -  1.00e+00 5.00e-01f  2
 238  2.3232786e+00 0.00e+00 6.18e+00  -0.4 3.60e-02    -  1.00e+00 5.00e-01f  2
 239  2.0253866e+00 0.00e+00 5.31e+01  -0.4 6.07e-02    -  1.00e+00 1.00e+00w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240  5.8554967e+00 0.00e+00 1.43e+02  -0.4 1.43e-01    -  1.00e+00 1.00e+00w  1
 241  5.8834993e+00 0.00e+00 1.40e+02  -0.4 1.33e-01    -  1.00e+00 1.00e+00w  1
 242  2.1387421e+00 0.00e+00 2.26e+01  -0.4 1.87e+00    -  1.00e+00 5.00e-01f  1
 243  2.1078511e+00 0.00e+00 6.99e+01  -0.4 7.93e-02    -  1.00e+00 1.25e-01f  4
 244  2.0740825e+00 0.00e+00 3.39e+01  -0.4 1.69e-01    -  1.00e+00 1.25e-01f  4
 245  2.0641099e+00 0.00e+00 6.56e+01  -0.4 1.44e-01    -  1.00e+00 1.25e-01f  4
 246  2.0653317e+00 0.00e+00 5.68e+01  -0.4 6.30e-02    -  1.00e+00 7.81e-03f  8
 247  2.0701055e+00 0.00e+00 4.58e+01  -0.4 3.37e-02    -  1.00e+00 1.25e-01f  4
 248  2.0686815e+00 0.00e+00 2.40e+01  -0.4 2.82e-01    -  1.00e+00 3.12e-02f  6
 249  2.0402173e+00 0.00e+00 1.73e+01  -0.4 4.03e-02    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250  2.0504061e+00 0.00e+00 1.17e+01  -0.4 3.10e-02    -  1.00e+00 6.25e-02f  5
 251  2.0591705e+00 0.00e+00 9.46e+00  -0.4 1.08e-01    -  1.00e+00 6.25e-02f  5
 252  2.0521710e+00 0.00e+00 2.56e+01  -0.4 2.14e-02    -  1.00e+00 2.50e-01f  3
 253  2.5291473e+00 0.00e+00 3.69e+02  -0.4 5.81e-02    -  1.00e+00 1.00e+00w  1
 254  2.1471224e+00 0.00e+00 2.96e+01  -0.4 2.69e-02    -  1.00e+00 1.00e+00w  1
 255  1.8260980e+02 0.00e+00 6.17e+03  -0.4 2.49e-01    -  1.00e+00 1.00e+00w  1
 256  2.0651632e+00 0.00e+00 2.51e+01  -0.4 1.57e+01    -  1.00e+00 1.25e-01f  3
 257  2.0880465e+00 0.00e+00 4.98e+00  -0.4 1.45e-02    -  1.00e+00 2.50e-01f  3
 258  2.0877098e+00 0.00e+00 1.55e+01  -0.4 2.14e+00    -  3.40e-01 1.71e-05f 15
 259  2.0858352e+00 0.00e+00 5.78e+00  -0.4 1.19e-04    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260  2.0853392e+00 0.00e+00 5.59e-01  -0.4 6.99e-05    -  1.00e+00 1.00e+00f  1
 261  2.0843398e+00 0.00e+00 2.70e+00  -1.1 7.45e-05    -  1.00e+00 1.00e+00f  1
 262  1.9986496e+00 0.00e+00 5.53e+01  -1.1 2.69e-02    -  1.00e+00 1.00e+00f  1
 263  1.9501977e+00 0.00e+00 2.64e+02  -1.1 3.51e-02    -  1.00e+00 5.00e-01f  2
 264  1.8225152e+00 0.00e+00 3.38e+01  -1.1 8.56e-03    -  1.00e+00 5.00e-01f  2
 265  1.7690346e+00 0.00e+00 3.33e+01  -1.1 2.76e-01    -  3.20e-01 3.12e-02f  6
 266  1.6689599e+00 0.00e+00 8.98e+00  -1.1 1.12e-02    -  1.00e+00 1.00e+00f  1
 267  1.6047477e+00 0.00e+00 2.37e+01  -2.2 1.32e-01    -  1.00e+00 2.11e-01f  2
 268  1.4517764e+00 0.00e+00 1.45e+02  -2.7 1.12e-01    -  1.00e+00 8.46e-01f  1
 269  1.4419733e+00 0.00e+00 2.15e+02  -2.9 1.17e+00    -  1.00e+00 7.08e-03f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270  1.3966017e+00 0.00e+00 2.69e+02  -3.8 1.47e-01    -  1.00e+00 3.91e-02f  5
 271  1.3361756e+00 0.00e+00 4.15e+01  -8.4 1.93e-01    -  5.67e-01 7.77e-02f  4
 272  1.3208311e+00 0.00e+00 4.32e+01  -8.4 4.03e-02    -  7.82e-01 3.03e-02f  1
 273  1.3128273e+00 0.00e+00 1.69e+01  -3.6 6.94e-02    -  1.00e+00 1.25e-01f  4
 274  1.1686299e+00 0.00e+00 4.78e+01  -4.2 4.51e-02    -  1.00e+00 5.00e-01f  2
 275  1.1612041e+00 0.00e+00 6.02e+01  -5.1 1.07e-01    -  1.00e+00 2.05e-01f  3
 276  1.1506193e+00 0.00e+00 8.94e+01  -4.8 5.90e+00    -  1.00e+00 2.85e-03f  3
 277  1.1401218e+00 0.00e+00 1.15e+02  -9.0 3.28e-01    -  7.87e-01 1.14e-02f  5
 278  1.1120309e+00 0.00e+00 7.67e+01  -3.9 8.07e-02    -  1.00e+00 1.99e-01f  3
 279  1.0997996e+00 0.00e+00 6.08e+01  -3.0 4.27e-02    -  9.46e-01 2.50e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280  1.0989440e+00 0.00e+00 4.77e+01  -3.6 1.29e-01    -  1.00e+00 3.85e-02f  5
 281  1.0933750e+00 0.00e+00 6.63e+00  -4.7 1.05e-01    -  1.00e+00 2.93e-01f  1
 282  1.0878317e+00 0.00e+00 5.52e+01  -9.8 3.13e-01    -  1.19e-01 3.08e-02f  3
 283  1.0796847e+00 0.00e+00 1.00e+02  -2.1 2.59e-01    -  5.06e-01 8.90e-02f  1
 284  1.0735558e+00 0.00e+00 8.40e+01  -3.4 3.18e-02    -  6.98e-01 1.32e-01f  2
 285  1.0806058e+00 0.00e+00 3.63e+01  -2.0 1.04e+00    -  7.66e-01 6.25e-02f  5
 286  1.0356710e+00 0.00e+00 6.20e+01  -2.2 7.26e-01    -  3.55e-01 5.59e-02f  3
 287  1.0232226e+00 0.00e+00 4.24e+01  -8.1 1.62e-01    -  4.57e-01 5.17e-02f  3
 288  1.0100626e+00 0.00e+00 4.82e+01  -8.4 4.29e-01    -  3.14e-01 3.08e-02f  4
 289  1.0096782e+00 0.00e+00 7.83e+01  -1.6 6.39e-01    -  1.00e+00 6.95e-03f  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290  1.0003465e+00 0.00e+00 1.45e+01  -7.6 9.59e-02    -  5.22e-01 1.25e-01f  4
 291  9.9861704e-01 0.00e+00 1.90e+01  -2.4 1.27e-01    -  1.00e+00 2.13e-02f  6
 292  1.3273115e+00 0.00e+00 1.10e+01  -1.1 8.53e-02    -  1.00e+00 1.00e+00f  1
 293  1.3296767e+00 0.00e+00 4.85e+01  -1.2 5.39e-02    -  1.00e+00 5.00e-01f  2
 294  1.3123059e+00 0.00e+00 1.07e+02  -1.2 3.10e-01    -  1.00e+00 1.31e-02f  7
 295  1.3312375e+00 0.00e+00 4.06e+01  -1.2 2.85e-01    -  6.60e-01 1.25e-01f  4
 296  1.2627817e+00 0.00e+00 7.80e+00  -1.2 1.38e-01    -  1.00e+00 1.25e-01f  4
 297  1.2619858e+00 0.00e+00 3.68e+01  -1.2 1.06e-01    -  1.00e+00 6.25e-02f  5
 298  1.2554975e+00 0.00e+00 5.24e+01  -1.2 2.58e-01    -  9.63e-01 6.25e-02f  5
 299  1.2337502e+00 0.00e+00 3.71e+01  -1.2 3.10e-01    -  4.66e-01 2.45e-02f  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300  1.1984295e+00 0.00e+00 8.37e+00  -1.2 1.86e-01    -  9.30e-01 9.27e-02f  4
 301  1.1945824e+00 0.00e+00 2.43e+01  -1.2 2.81e-01    -  7.41e-01 1.56e-02f  7
 302  1.2046959e+00 0.00e+00 2.51e+01  -1.2 1.69e-02    -  1.00e+00 1.00e+00f  1
 303  1.2044605e+00 0.00e+00 3.71e+00  -1.2 1.78e-01    -  1.00e+00 6.25e-02f  5
 304  1.2013049e+00 0.00e+00 1.17e+01  -1.2 1.10e-01    -  1.00e+00 1.03e-02f  7
 305  1.1677901e+00 0.00e+00 7.58e+00  -1.2 2.64e-02    -  1.00e+00 5.00e-01f  2
